id,type,label,data
claim:0032,claim,,"{""type"": ""claim"", ""value"": ""19.5"", ""unit"": ""%"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The standalone upside case models a 19.5% IRR."", ""locator"": ""Act III, case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0032""}"
perimeter:alderstone_standalone_upside_case,perimeter,Alderstone standalone upside case,"{""type"": ""perimeter"", ""label"": ""Alderstone standalone upside case"", ""id"": ""perimeter:alderstone_standalone_upside_case""}"
claim:0033,claim,,"{""type"": ""claim"", ""value"": ""2.08"", ""unit"": ""x"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""The acquisition base case underwrites 2.08x MOIC including Sentinel plus a second funded add-on."", ""locator"": ""Act III, case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0033""}"
perimeter:alderstone_acquisition_base_case_including_sentinel_and_a_second_funded_add-on,perimeter,Alderstone acquisition base case including Sentinel and a second funded add-on,"{""type"": ""perimeter"", ""label"": ""Alderstone acquisition base case including Sentinel and a second funded add-on"", ""id"": ""perimeter:alderstone_acquisition_base_case_including_sentinel_and_a_second_funded_add-on""}"
claim:0034,claim,,"{""type"": ""claim"", ""value"": ""16.0"", ""unit"": ""%"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""The acquisition base case underwrites a 16.0% IRR."", ""locator"": ""Act III, case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0034""}"
perimeter:alderstone_acquisition_base_case,perimeter,Alderstone acquisition base case,"{""type"": ""perimeter"", ""label"": ""Alderstone acquisition base case"", ""id"": ""perimeter:alderstone_acquisition_base_case""}"
claim:0035,claim,,"{""type"": ""claim"", ""value"": ""13"", ""unit"": ""count"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The IC approves the transaction subject to thirteen explicit conditions including EBITDA basis, NWC target, integration plan, liquidity reserve and reporting requirements."", ""locator"": ""Act III, IC conditions"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0035""}"
metric:ic_conditions,metric,IC Conditions,"{""type"": ""metric"", ""label"": ""IC Conditions"", ""id"": ""metric:ic_conditions""}"
perimeter:alderstone_acquisition_approval_conditions,perimeter,Alderstone acquisition approval conditions,"{""type"": ""perimeter"", ""label"": ""Alderstone acquisition approval conditions"", ""id"": ""perimeter:alderstone_acquisition_approval_conditions""}"
claim:0036,claim,,"{""type"": ""claim"", ""value"": ""4-1"", ""unit"": """", ""epistemic"": ""observed"", ""direction"": ""context"", ""statement"": ""The IC approves the transaction 4-1, with one member dissenting on the basis that concentration, integration and multiple risks were not sufficiently compensated."", ""locator"": ""Act III, vote and conclusion"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0036""}"
metric:ic_vote,metric,IC Vote,"{""type"": ""metric"", ""label"": ""IC Vote"", ""id"": ""metric:ic_vote""}"
perimeter:alderstone_acquisition_ic_vote_outcome,perimeter,Alderstone acquisition IC vote outcome,"{""type"": ""perimeter"", ""label"": ""Alderstone acquisition IC vote outcome"", ""id"": ""perimeter:alderstone_acquisition_ic_vote_outcome""}"
claim:0037,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The IC accepts customer concentration and integration risk as real and unresolved while nevertheless approving the deal under conditions, reflecting a contested-but-accepted institutional position."", ""locator"": ""Act III, institutional meaning callout"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0037""}"
metric:decision_coherence,metric,Decision Coherence,"{""type"": ""metric"", ""label"": ""Decision Coherence"", ""id"": ""metric:decision_coherence""}"
perimeter:alderstone_ic_decision_epistemic_vs_decision_state,perimeter,Alderstone IC decision epistemic vs decision state,"{""type"": ""perimeter"", ""label"": ""Alderstone IC decision epistemic vs decision state"", ""id"": ""perimeter:alderstone_ic_decision_epistemic_vs_decision_state""}"
claim:0038,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""observed"", ""direction"": ""context"", ""statement"": ""After closing, Alderstone acquires Sentinel, adding revenue and EBITDA but also more customer records, systems and project codes to an already difficult integration program."", ""locator"": ""Act IV, Sentinel acquisition"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0038""}"
metric:acquisition_integration,metric,Acquisition Integration,"{""type"": ""metric"", ""label"": ""Acquisition Integration"", ""id"": ""metric:acquisition_integration""}"
period:post-close,period,Post-close,"{""type"": ""period"", ""label"": ""Post-close"", ""id"": ""period:post-close""}"
perimeter:alderstone_acquisition_of_sentinel_post-close,perimeter,Alderstone acquisition of Sentinel post-close,"{""type"": ""perimeter"", ""label"": ""Alderstone acquisition of Sentinel post-close"", ""id"": ""perimeter:alderstone_acquisition_of_sentinel_post-close""}"
source:board_pack,source,Board Pack,"{""type"": ""source"", ""label"": ""Board Pack"", ""id"": ""source:board_pack""}"
claim:0039,claim,,"{""type"": ""claim"", ""value"": ""yellow"", ""unit"": """", ""epistemic"": ""observed"", ""direction"": ""context"", ""statement"": ""By December 2026, Project Unify is rated yellow ahead of go-live."", ""locator"": ""Act IV, Dec 2026 board pack"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0039""}"
metric:project_unify_status,metric,Project Unify Status,"{""type"": ""metric"", ""label"": ""Project Unify Status"", ""id"": ""metric:project_unify_status""}"
period:dec_2026,period,Dec 2026,"{""type"": ""period"", ""label"": ""Dec 2026"", ""id"": ""period:dec_2026""}"
perimeter:alderstone_systems_integration_program_(project_unify)_readiness_rating,perimeter,Alderstone systems integration program (Project Unify) readiness rating,"{""type"": ""perimeter"", ""label"": ""Alderstone systems integration program (Project Unify) readiness rating"", ""id"": ""perimeter:alderstone_systems_integration_program_(project_unify)_readiness_rating""}"
author:monitoring/board,author,Monitoring/Board,"{""type"": ""author"", ""label"": ""Monitoring/Board"", ""id"": ""author:monitoring/board""}"
claim:0040,claim,,"{""type"": ""claim"", ""value"": ""17"", ""unit"": ""count"", ""epistemic"": ""observed"", ""direction"": ""context"", ""statement"": ""Seventeen high-severity defects remain in Project Unify as of December 2026."", ""locator"": ""Act IV, Dec 2026 board pack"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0040""}"
metric:high-severity_defects,metric,High-Severity Defects,"{""type"": ""metric"", ""label"": ""High-Severity Defects"", ""id"": ""metric:high-severity_defects""}"
perimeter:alderstone_project_unify_pre-cutover_defect_count,perimeter,Alderstone Project Unify pre-cutover defect count,"{""type"": ""perimeter"", ""label"": ""Alderstone Project Unify pre-cutover defect count"", ""id"": ""perimeter:alderstone_project_unify_pre-cutover_defect_count""}"
claim:0041,claim,,"{""type"": ""claim"", ""value"": ""11"", ""unit"": ""%"", ""epistemic"": ""observed"", ""direction"": ""context"", ""statement"": ""11% of customer records require manual review ahead of the systems cutover."", ""locator"": ""Act IV, Dec 2026 board pack"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0041""}"
metric:manual_review_rate,metric,Manual Review Rate,"{""type"": ""metric"", ""label"": ""Manual Review Rate"", ""id"": ""metric:manual_review_rate""}"
perimeter:alderstone_customer_records_requiring_manual_review_pre-cutover,perimeter,Alderstone customer records requiring manual review pre-cutover,"{""type"": ""perimeter"", ""label"": ""Alderstone customer records requiring manual review pre-cutover"", ""id"": ""perimeter:alderstone_customer_records_requiring_manual_review_pre-cutover""}"
claim:0042,claim,,"{""type"": ""claim"", ""value"": ""5.1"", ""unit"": ""$m"", ""epistemic"": ""observed"", ""direction"": ""context"", ""statement"": ""Unbilled WIP had risen from $5.1 million to $6.4 million by December 2026."", ""locator"": ""Act IV, Dec 2026 board pack"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0042""}"
metric:wip,metric,WIP,"{""type"": ""metric"", ""label"": ""WIP"", ""id"": ""metric:wip""}"
period:prior_to_dec_2026,period,prior to Dec 2026,"{""type"": ""period"", ""label"": ""prior to Dec 2026"", ""id"": ""period:prior_to_dec_2026""}"
perimeter:alderstone_unbilled_wip_prior_to_rise,perimeter,Alderstone unbilled WIP prior to rise,"{""type"": ""perimeter"", ""label"": ""Alderstone unbilled WIP prior to rise"", ""id"": ""perimeter:alderstone_unbilled_wip_prior_to_rise""}"
claim:0043,claim,,"{""type"": ""claim"", ""value"": ""6.4"", ""unit"": ""$m"", ""epistemic"": ""observed"", ""direction"": ""contradicts"", ""statement"": ""Unbilled WIP reached $6.4 million by December 2026, up from $5.1 million."", ""locator"": ""Act IV, Dec 2026 board pack"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0043""}"
perimeter:alderstone_unbilled_wip,perimeter,Alderstone unbilled WIP,"{""type"": ""perimeter"", ""label"": ""Alderstone unbilled WIP"", ""id"": ""perimeter:alderstone_unbilled_wip""}"
claim:0044,claim,,"{""type"": ""claim"", ""value"": ""58"", ""unit"": ""days"", ""epistemic"": ""observed"", ""direction"": ""context"", ""statement"": ""DSO had risen from 58 to 68 days by December 2026."", ""locator"": ""Act IV, Dec 2026 board pack"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0044""}"
metric:dso,metric,DSO,"{""type"": ""metric"", ""label"": ""DSO"", ""id"": ""metric:dso""}"
perimeter:alderstone_days_sales_outstanding_prior_level,perimeter,Alderstone days sales outstanding prior level,"{""type"": ""perimeter"", ""label"": ""Alderstone days sales outstanding prior level"", ""id"": ""perimeter:alderstone_days_sales_outstanding_prior_level""}"
